"","shannon_index","richness"
"G1CA",3.17237453533426,81
"G1CB",3.23938832668347,86
"G1CC",3.16280525357199,86
"G1IA",3.11678439983264,75
"G1IB",3.01308226964213,85
"G1IC",3.16027970074167,87
"G1P1A",2.78142836706886,79
"G1P1B",2.63288705721972,85
"G1P1C",3.04611068178006,87
"G1P2A",3.06970690795933,81
"G1P2B",2.98790221614086,83
"G1P2C",3.12793877364483,86
"G1SA",3.16090101869356,81
"G1SC",3.16260100547177,83
"G1STA",3.17739944829687,84
"G1STC",3.1476249358518,85
"G2CA",3.17964227898384,78
"G2CB",3.16025666244164,81
"G2CC",3.17923974050344,85
"G2IA",3.07812772347233,75
"G2IB",3.18333261142592,81
"G2IC",3.18009344996439,80
"G2P1A",3.00176471489963,86
"G2P1B",3.1232819349327,78
"G2P1C",3.15690907748459,85
"G2P2A",3.07047624996246,80
"G2P2B",3.15760246680364,83
"G2P2C",3.15762671475605,85
"G2SA",3.03258047018501,82
"G2SC",3.11598983380296,86
"G2STA",3.16972207821512,83
"G2STB",3.18936442502415,82
"G2STC",3.1999713869072,80
